wid:ID,:LABEL,word
9,Word,şangay
10,Word,bund
11,Word,şangay hastane
13,Word,dış haber abd mahkemesi
14,Word,arjantin
15,Word,yüz 58.9
16,Word,çin
17,Word,i̇stanbul
18,Word,2014
19,Word,buenos aires borsa
20,Word,yüzde 58.9
21,Word,yüzde 133
22,Word,yüzde 206
23,Word,transener
24,Word,arjantin mscı
25,Word,93.16 milyar dolar
26,Word,yüz 51.7
27,Word,venezuelâ
28,Word,"yüzde 41,01"
29,Word,yüzde 29.75
30,Word,hindistan
31,Word,mumbai borsa sensex
32,Word,yüzde 25.13
33,Word,yüzde 22.76
34,Word,filipin
35,Word,manila pse
36,Word,yüz 22.29
37,Word,endonezya
38,Word,jakarta jsx
39,Word,yüzde 14.39
40,Word,yüz 12.55
41,Word,yüzde 8.48
42,Word,rusya
43,Word,30 aralık
44,Word,londra
45,Word,paris
46,Word,ftse
47,Word,yüzde 2.99
48,Word,paris cac
49,Word,yüzde 1.17
50,Word,avrupa
51,Word,"yüzde 20,95"
52,Word,kopenhag omxc20
53,Word,"yüzde 45,19"
54,Word,rusya rts
55,Word,yüzde 29.80
56,Word,atina ase
57,Word,yüz 12
58,Word,i̇talya
59,Word,i̇spanya
60,Word,almanya
62,Word,fikir ci̇nokur
63,Word,antalya
64,Word,hayvan bakanlık antalya il müdür
65,Word,batı akdeniz ihracat birlik bai̇b yönetim kurul
66,Word,mustafa satıcı
67,Word,ab
68,Word,antalya ziraat oda
69,Word,nazif alp
70,Word,antalya il müdür
71,Word,yüzde 1
72,Word,türkiye
73,Word,yüz 3 5
74,Word,yüz 3 4
75,Word,abd
76,Word,bai̇b yönetim kurul
77,Word,antalya kent konsey
78,Word,kullanım çalışmak grup
79,Word,satıcı
80,Word,2000
81,Word,hayvan bakanlık
82,Word,alp
84,Word,kongre
85,Word,avrasya ekonomik birlik
86,Word,letonya
87,Word,mısır
88,Word,libya
89,Word,avusturya
90,Word,ahmet davutoğlu
91,Word,tunus
92,Word,bm güvenlik konsey
93,Word,suriye
94,Word,1 ocak
95,Word,körfez
96,Word,gümrük birlik
97,Word,litvanya
98,Word,hollânda
99,Word,brezilya
100,Word,dilma rousseff
101,Word,mevlüt çavuşoğlu
102,Word,roussef
103,Word,şili
104,Word,brıcs
105,Word,dubai
106,Word,2 ocak
107,Word,muhammed
108,Word,i̇ngiltere merkez banka boe
109,Word,3 ocak
110,Word,mısır yüksek seçim kurul
111,Word,4 ocak
112,Word,kuveyt
113,Word,latin amerika
114,Word,manhattan moda
115,Word,5 ocak
116,Word,i̇ngiltere
117,Word,pmı
118,Word,fifa gazze
119,Word,6 ocak
120,Word,barack obama
121,Word,beyaz saray
122,Word,meksika
123,Word,enrique pena nieto
124,Word,roma
125,Word,papa franciscus
126,Word,britanya ticaret oda 4.
127,Word,uleb avrupa
128,Word,karadağ
129,Word,hz i̇sa
130,Word,doğu
131,Word,7 ocak
132,Word,dünya banka
133,Word,amerikan merkez banka
134,Word,fransa
135,Word,avrupa insan hak mahkeme
136,Word,bosna hersek
137,Word,sırbistan
138,Word,makedonya
139,Word,hırvatistan
140,Word,kosova
141,Word,ortodoks noel
142,Word,katar uluslararası
143,Word,gine
144,Word,8 ocak
145,Word,oecd meksika
146,Word,i̇ngiltere merkez banka
147,Word,norveç
148,Word,9 ocak
149,Word,bm
150,Word,kıbrıs
151,Word,bm güvenlik kurulu
152,Word,bosna
153,Word,1995
154,Word,sreçko boşkoviç
155,Word,abd çalışmak bakanlık
156,Word,11 ocak
157,Word,oecd
158,Word,12 ocak
159,Word,berlin
160,Word,i̇sviçre
161,Word,zürih
162,Word,tanzanya
163,Word,kenya
164,Word,1998
165,Word,el kaide üye enes el libi
166,Word,halid el fevvaz
167,Word,new york
168,Word,13 ocak
169,Word,fifa medya gün
170,Word,fifa dünya futbol müze
171,Word,matteo renzi
172,Word,avrupa parlâmento
173,Word,14 ocak
174,Word,15 ocak
175,Word,16 ocak
176,Word,müstakil sanayi ve işadamı dernek müsiad
177,Word,18 ocak
178,Word,19 ocak
179,Word,i̇ran
180,Word,brüksel
181,Word,cenevre
182,Word,20 ocak
183,Word,21 ocak
184,Word,dünya ekonomik forum
185,Word,wef
186,Word,i̇ngiltere merkez banka para politika komite mpc
187,Word,kustendorf
188,Word,arnavutluk
189,Word,21 ocak 2011
190,Word,22 ocak
191,Word,i̇talya almanya
192,Word,rotterdam
193,Word,25 ocak
194,Word,tbmm
195,Word,cemil çiçek
196,Word,çek cumhuriyet
197,Word,prag
198,Word,27 ocak
199,Word,birleşmek millet insan hak konsey
200,Word,28 ocak
201,Word,doğu perinçek
202,Word,30 ocak
203,Word,irak
205,Word,endonezya aram
206,Word,kurtarmak ajans
207,Word,borneo
208,Word,singapur
209,Word,avustralya
210,Word,malezya
211,Word,khairunisa haidar fauzi
212,Word,güney kore
214,Word,türkmenistan
215,Word,yüz 60
216,Word,1 dolar
217,Word,saparmurat türkmenbaşı
218,Word,gurbangulı berdimuhamedov
219,Word,2007
220,Word,2013
222,Word,bakan kurul
223,Word,0.74 lira
224,Word,yüzde 15
225,Word,yüz 63
226,Word,yüzde 16
227,Word,yüz 65.25
228,Word,yüz 5
229,Word,0.1971 lira
231,Word,danimarka
232,Word,jylland
233,Word,mariager
234,Word,assens
235,Word,hobro
236,Word,skjellerup
237,Word,kopenhag üniversitesi
238,Word,jeppe ilkjær
239,Word,lolland falster
240,Word,emniyet genel
242,Word,marmara
243,Word,marmara deniz
244,Word,gemlik körfez
245,Word,fıstık
246,Word,karacaali
247,Word,küçükkumla
248,Word,bursa büyükşehir belediye
249,Word,20 30 lira
250,Word,12 13 lira
251,Word,8 15 lira
252,Word,gemlik merkez su ürün kooperatif
253,Word,i̇brahim cezair
254,Word,cezair
256,Word,buşehr
257,Word,boşkan
258,Word,tahra üniversitesi jeofizik enstitü sismoloji merkez
259,Word,şonbeh
261,Word,kuzey kıbrıs türk cumhuriyet
262,Word,kktc
263,Word,kıbrıs türk federe
264,Word,osman nejat
265,Word,ataköy
266,Word,osman nejat konuk
267,Word,1928
268,Word,1976
269,Word,başbakanlık
270,Word,ulusal birlik parti
271,Word,1979
272,Word,demokratik halk parti
273,Word,demokratik halk parti lefkoşa
274,Word,1982
275,Word,meclis
276,Word,1983
277,Word,1983 1985 yıl ara
279,Word,the boston consulting group bcg
280,Word,imalât sanayi maliyet
281,Word,bcg
282,Word,ve lira dolar
283,Word,tayvan
284,Word,500 milyar dolar
285,Word,aykan gökbulut
286,Word,yüzde 14
287,Word,yüz 19
288,Word,yüzde 0.83
289,Word,yüz 1.46
290,Word,21 trilyon dolar
291,Word,gdp
292,Word,yüz 20
293,Word,eu
294,Word,yüz 30 35
295,Word,nestle
296,Word,ford
297,Word,hp
298,Word,japonya
299,Word,tayland
301,Word,i̇srail
302,Word,likud parti
303,Word,binyamin netanyahu
304,Word,yüzde 75
305,Word,netanyahu
306,Word,danny danon
307,Word,yüzde 6
309,Word,15 aralık 2015
311,Word,yüz 50
312,Word,reform genel müdür
313,Word,2015 yıl
314,Word,isparta
315,Word,yüzde 384
317,Word,re vestfalya
318,Word,vlotho
319,Word,hostein
320,Word,alevslohe
321,Word,saksonya
322,Word,striegistal
323,Word,rommerskirchen
324,Word,stuttgart
326,Word,vilnius
327,Word,dalia grybauskaite
328,Word,atm
329,Word,algirdas butkevicius
330,Word,butkevicius
331,Word,vytis
332,Word,estonya
333,Word,taavi roivas
334,Word,edgars rinkevic
335,Word,avrupa komisyon
336,Word,vytenis andriukaitis
337,Word,rimantas sadzius
338,Word,litvanya merkez banka
339,Word,vitas vasiliauskas atm
340,Word,1990
341,Word,litvanya avrupa
343,Word,yapı kredi platinum banka
344,Word,esti̇ma
345,Word,yapı kredi platinum banka yatırım
346,Word,marmara bölge
347,Word,ege bölge
348,Word,kredi platinum banka yatırım
